Unit,School / Division,Category,Calendar name,Calendar URL,Platform / CMS,How content is rendered,Feed / API endpoint,Best way to fetch it programmatically,Confidence,Notes
Penn Sleep Centers,Medicine,Center,CSI Conferences and Seminars,https://www.med.upenn.edu/sleepctr/csi-conferences-and-seminars.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Sleep Grand Rounds lecture series sub-page
Center of Excellence in Environmental Toxicology (CEET),Medicine,Center,Events,https://ceet.upenn.edu/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Annual CEET Symposium; also listed on Penn Sustainability and EII calendars
Penn Center for AIDS Research (CFAR),Medicine,Center,Seminar Series,https://www.med.upenn.edu/cfar/seminar-series/,WordPress (hosting.med.upenn.edu),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Also /cfar-events/ landing page
Pennsylvania Muscle Institute (PMI),Medicine,Institute,Events Calendar (LiveWhale group),https://events.med.upenn.edu/pmi/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Joint seminars with Physiology
PSOM - Physiology,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/physiology/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
Center for Particle Cosmology,SAS,Center,Events / seminars,https://particlecosmo.sas.upenn.edu/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Legacy site physics.upenn.edu/particlecosmo
Penn Institute for Economic Research (PIER),SAS,Institute,Events,https://economics.sas.upenn.edu/pier/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Workshops and conferences sub-page
Christopher H. Browne Center for International Politics,SAS,Center,Events,https://bc.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Speaker Series sub-page
Center for Soft and Living Matter,SAS,Center,Calendar events,https://web.sas.upenn.edu/slm/,UPenn Generator (SAS web platform),Server-rendered HTML; per-event /calendar_event/<slug>/,unknown,Server-rendered HTML — requests + BeautifulSoup; confirm the selector before relying on it.,Pattern-inferred — confirm URL before scraping,
Penn Sustainability,University,Sustainability,Events,https://www.sustainability.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Environmental Innovations Initiative,University,Initiative,Events,https://environment.upenn.edu/events-insights/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn GSE - Consortium for Policy Research in Education (CPRE),GSE,Center,News / events,https://www.gse.upenn.edu/cpre/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Events surface on the GSE school calendar
Penn GSE - Research & Initiatives index,GSE,School,"Centers, projects & initiatives",https://www.gse.upenn.edu/our-expertise/research-and-initiatives,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Index of GSE centers; most have no separate calendar
Weitzman - Centers & Labs index,Design,School,Centers & Labs,https://www.design.upenn.edu/centers-and-labs,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Center events post to the school calendar
Weitzman - Center for Environmental Building + Design,Design,Center,About / events,https://www.design.upenn.edu/cebd/about,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn Vet - Institute for Infectious & Zoonotic Diseases,Vet,Institute,IIZD Events,https://www.vet.upenn.edu/research/research-centers-and-institute/institute-for-infectious-and-zoonotic-diseases/iizd-events/,WordPress + The Events Calendar,Server-rendered HTML,?ical=1 ; TEC REST API,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Annual zoonotic disease symposium
Penn Vet - single event pages,Vet,School,Event detail pattern,https://www.vet.upenn.edu/event/,WordPress + The Events Calendar,Server-rendered HTML,?ical=1,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Per-event permalinks
Computational Neuroscience Initiative (CNI),SAS,Initiative,Events,https://cni.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),IMB Seminar Series and CNI Seminar sub-calendars
Penn Program on Opinion Research & Election Studies (PORES),SAS,Program,Upcoming Events Around Campus,https://pores.upenn.edu/news/upcoming-events-around-campus,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Annual PORES Hackathon
Penn Program on Race Science & Society (PRSS),SAS,Program,Upcoming Events,https://prss.sas.upenn.edu/upcoming-events,Drupal,Server-rendered HTML; year view at /calendar/year,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Symposiums & conferences sub-page
Robert A. Fox Leadership Program,SAS,Program,Events,https://foxleadership.upenn.edu/,Drupal,Server-rendered HTML,unknown,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Pattern-inferred — confirm URL before scraping,
Wharton - Risk Management & Decision Processes Center,Wharton,Center,Center site (events via Impact),https://riskcenter.wharton.upenn.edu/,WordPress + WPBakery,Server-rendered HTML; events now run through impact.wharton.upenn.edu,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Redirects into the Impact initiative
Wharton - BEPP research centers & programs,Wharton,Department,Research Centers and Programs,https://bepp.wharton.upenn.edu/research/research-centers-and-programs/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Center for Molecular Studies in Digestive & Liver Diseases,Medicine,Center,Research Seminar Series,https://www.med.upenn.edu/CMSDLD/cmsdld-research-seminar-series.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Up-and-Coming Seminar Series sub-page
UPenn Digestive and Liver Center,Medicine,Center,Center site / seminars,https://www.med.upenn.edu/digestive-and-liver-center/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Center for Host-Microbial Interactions,Medicine,Core,Core facility page,https://www.med.upenn.edu/cores/center-for-host-microbial-interactions.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar; core facility page only
Abramson Cancer Center Research,Medicine,Center,Research site / training events,https://www.med.upenn.edu/acc-cancer-research/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Events surface on events.med.upenn.edu
Center for the Treatment & Study of Anxiety (CTSA),Medicine,Center,Center site,https://www.med.upenn.edu/ctsa/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Clinical program; no public events calendar
Center for Cognitive Therapy,Medicine,Center,Center site,https://www.med.upenn.edu/cct/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Clinical program; no public events calendar
Center for Brain Injury and Repair,Medicine,Center,Center site,https://www.med.upenn.edu/cbir/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
Center for Functional Neuroimaging,Medicine,Center,Center site,https://www.cfn.upenn.edu/,Static HTML,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
Penn Center for Global Genomics & Health Equity,Medicine,Center,Events Calendar (LiveWhale group),https://events.med.upenn.edu/gghe/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Main site globalgenomics.med.upenn.edu
